"","video_id","duration"
"741","WxmAtVicpUc",NA
"742","vtvlZr4gq8o",NA
"743","CQhrLUYoJJY",NA
"744","13Ji1rrGeAQ",NA
"745","oF8g6VTuXBc",NA
"746","xpGUU0BZhRw",NA
"747","D2mpyc3-tCc",NA
"748","ylvxPlsZ9vg",NA
"749","DOb5gSs-6o8",NA
"750","0N6hC_EsUc8",NA
"751","SBKluTNOVPI",NA
"752","cvdZT0eqnek",NA
"753","0uZ1SZ2qTns",NA
"754","HQILxqS831E",NA
"755","eA45sk4_LeE",NA
"756","XDQzAgpKmJ4",NA
"757","xelLxcn41kM",NA
"758","X3ec4jZNaRg",NA
"759","7xtFGPqJ6N0",NA
"760","uVioLliiCX4",NA
"761","LBjGD5VGVg0",NA
