Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
7,29,86470,3994,244,970,7,2017
11,25,8709,14,0,0,11,2013
9,6,93,1,0,0,1,2019
3,7,2174,0,0,0,2,2010
9,28,35,0,0,0,9,2014
13,27,119,0,1,0,4,2016
11,29,10982,125,3,29,6,2016
7,28,93777,8819,192,2124,8,2019
8,25,23,0,0,0,3,2018
8,28,458,42,1,6,4,2017
6,10,23973,248,4,26,7,2018
13,23,64,0,0,0,7,2013
50,11,4562,22,3,1,12,2016
8,26,942,32,3,0,7,2008
10,26,124,2,1,1,4,2017
6,23,4268,27,1,1,5,2018
16,24,94,4,0,0,6,2018
9,30,54184,82,304,384,3,2013
9,25,2858,8,1,4,3,2008
6,28,3113,5,4,0,7,2013
7,28,1744,9,0,3,8,2014
11,26,503,1,1,0,8,2015
8,26,353,8,0,4,10,2012
8,25,108,3,0,3,5,2017
17,27,1636553,76388,1290,12457,3,2018
9,30,5258,21,1,NA,12,2009
13,27,533,22,3,28,1,2017
5,27,9,1,0,0,5,2018
7,24,87213,669,50,547,11,2018
6,23,152,1,1,0,10,2013
9,29,660,15,0,0,8,2019
7,31,468,6,1,5,11,2015
8,8,550,4,3,0,5,2018
13,29,42,1,0,0,7,2015
8,24,37064,933,45,449,11,2012
11,28,1186,29,1,21,4,2013
9,20,8599,41,70,13,8,2013
17,30,54741,30,24,6,11,2016
13,23,227,3,1,0,8,2017
5,20,1020,33,2,2,1,2019
11,26,474,4,0,0,10,2016
11,27,686,2,0,0,7,2015
8,16,25,18,3,0,7,2014
15,27,573,6,5,2,10,2017
8,24,81,0,0,0,7,2015
6,0,165,0,0,0,12,2013
14,23,7850,NA,NA,NA,5,2018
4,27,2148,278,4,61,9,2018
20,27,54867,1055,30,170,6,2019
7,27,174,3,0,0,12,2016
8,26,78,0,0,0,4,2017
9,27,921,1,0,0,7,2015
8,32,13,2,0,0,11,2019
6,25,34,0,0,0,6,2015
114,122,6749,3,2,0,7,2017
