"Title","views","Publisher","Time","Duration","Like","Dislike"
"Peru v Denmark - 2018 FIFA World Cup Russia™ - Match 6","9,793,739 views",,,"2:10","35K","3.1K"
"LINEUPS – BRAZIL V BELGIUM - MATCH 58 @ 2018 FIFA World Cup™","698,180 views",,,"1:30","2.2K","345"
"2018 WORLD CUP FINAL: FRANCE - CROATIA from the archives","2,225,700 views",,,"7:21","8.6K","1.6K"
"Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)","2,456,451,604 views",,,"3:30","10M","663K"
"IFSC Climbing World Championships - Innsbruck 2018 - Boulder- Finals - Men","260,997 views",,,"2:03:58","1K","59"
"Portugal vs Spain 3-3 • World Cup 2018 (15/06/2018) All Goals Highlights Lego Football","2,884,158 views",,,"3:41","15K","1.5K"
"Kylian Mbappè - World Cup 2018  Best Player","466,716 views",,,"5:30","5K","161"
"Neymar vs Switzerland (World Cup 2018) HD 1080i","8,130,670 views",,,"10:36","77K","4.7K"
"World Cup 2018 ● Spain The Journey ● Extended Highlights & All Goals ● Wavin' Flag","27,524 views",,,"15:53","743","21"
"Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundial de la FIFA� Sudafrica 2010)","436,924,791 views",,,"3:32","1.8M","112K"
"World Cup 2018 - Funniest Moments","2,805,278 views",,,"10:05","28K","1.2K"
"Netherlands v England | Womens World Cup 2018 | FULL MATCH","36,988 views",,,"1:26:44","225","4"
"FIFA World Cup 2018 Co-op Gameplay","636,488 views",,,"17:41","8.6K","484"
"The Ultimate World Cup 2018 Football Challenges","1,293,993 views",,,"14:00","28K","1K"
"ALL 169 GOALS ● 2018 FIFA WORLD CUP RUSSIA || English Commentary ᴴᴰ","68,339 views",,,"16:23","731","16"
"Philippines rout basketball powerhouse Russia | Full Game | FIBA 3x3 World Cup 2018","1,196,588 views",,,"19:57","3.5K","452"
"Motu Patlu | Enjoy this season of FIFA world cup 2018 | Wow Kidz","1,836,529 views",,,"11:14","6.1K","1.6K"
"Serbia v Switzerland - 2018 FIFA World Cup Russia™ - Match 26","9,205,057 views",,,"2:10","49K","4.3K"
"Belgium v USA - Full Game - Semi-Final - FIBA Women's Basketball World Cup 2018","54,772 views",,,"1:47:42","381","41"
"Kylian Mbappé - World Cup 2018 - | Rise to Stardom","486,034 views",,,"4:50","4.9K","118"
"Iceland v Croatia - 2018 FIFA World Cup Russia™ - Match 40","9,138,830 views",,,"2:10","41K","2K"
"FIFA World Cup 2018 - THE MOVIE (This was RUSSIA 2018)","43,365 views",,,"53:06","516","18"
"Belgium 🇧🇪 v France 🇫🇷 - Classic Full Games | FIBA Women's Basketball World Cup 2018","8,248 views",,,"1:00:44","133","5"
"FIFA 2018 Russia World Cup 2018 Prediction (FIFA 18)","1,077,218 views",,,"25:00","6K","1.4K"
"Kylian Mbappé vs Belgium (World Cup 2018) HD 1080i","4,458,979 views",,,"9:47","31K","2.4K"
