video_id,comment_text,,,,,,,
hzGrwaFztrE,Wow this is nice movie..!better than ever..!love her and love him,,,,,,,
hzGrwaFztrE,I thought that the police is sending robots to attack them ._.,,,,,,,
hzGrwaFztrE,And they will stop the robot with obviously hacking._.,,,,,,,
hzGrwaFztrE,After I watched this movie Love your work dont money ?,,,,,,,
hzGrwaFztrE,! just tell the movie isn’t good or bad!?,,,,,,,
hzGrwaFztrE,A slow start, but worth it on the long run.,,,,,,
hzGrwaFztrE,worth it real one,,,,,,,
hzGrwaFztrE,This is a nice movie,,,,,,,
hzGrwaFztrE,With all that cash and they never invested?,,,,,,,
hzGrwaFztrE,I think it is interesting they use service industry people to get the bankers info.,,,,,,,
hzGrwaFztrE,I am 18 minutes in,  Si is a cop undercover,,,,,,
hzGrwaFztrE,movie is awesome but what about phsy ,who killed him,,,,,,
hzGrwaFztrE,Watching this movie in the new year eve 2020,,,,,,,
hzGrwaFztrE,Help me to COMPLETE my mission ??.....Just do it...u know what u have to do,,,,,,,
hzGrwaFztrE,worth watching!,,,,,,,
hzGrwaFztrE,Best movie ive seen on youtube ?,,,,,,,
hzGrwaFztrE,Excellent, thank you.,,,,,,
hzGrwaFztrE,Hacker in the house,,,,,,,
hzGrwaFztrE,Omg im so sad shye is dead ?????,,,,,,,
hzGrwaFztrE,And now I want to explore DARKWEB’???,,,,,,,
hzGrwaFztrE,1:34:30 randy orton??,,,,,,,
hzGrwaFztrE,such an awesome story ??,,,,,,,
hzGrwaFztrE,3 star movie, yassssss,,,,,,
hzGrwaFztrE,Such a good movie. Never bored me. So many twists and turns.,,,,,,,
hzGrwaFztrE,5 star.,,,,,,,
hzGrwaFztrE,Not too bad. It felt like it was rushed towards the end but still worth watching.,,,,,,,
hzGrwaFztrE,best movie 2k19,,,,,,,
hzGrwaFztrE,This movie is Lit ??,,,,,,,
hzGrwaFztrE,My Uncle Help me...?,,,,,,,
hzGrwaFztrE,Good flick. ?,,,,,,,
hzGrwaFztrE,Sad.They wasted every cent on crap.,,,,,,,
hzGrwaFztrE,Woawwwww so interest to watch,,,,,,,
hzGrwaFztrE,EXCELLENT MOVIE.,,,,,,,
hzGrwaFztrE,We want more movies like this man please ...so dope movie,,,,,,,
hzGrwaFztrE,i didnt expect this watch to be awesome?,,,,,,,
hzGrwaFztrE,??,,,,,,,
hzGrwaFztrE,Simplicity is the way to go,,,,,,,
hzGrwaFztrE,Could have been a great movie but the end is a big let down. IMHO.,,,,,,,
hzGrwaFztrE,Watching,,,,,,,
hzGrwaFztrE,amazing,,,,,,,
hzGrwaFztrE,Love this movie,,,,,,,
hzGrwaFztrE,Like karo 100 sall jiyo,,,,,,,
hzGrwaFztrE,those who have liked the movie plzz watch the 37 episode series anime deathnote,,,,,,,
hzGrwaFztrE,Damn,,,,,,,
hzGrwaFztrE,What a movie mindblowing,,,,,,,
hzGrwaFztrE,A movie  to watch!..,,,,,,,
hzGrwaFztrE,Wonderful movie, excellent ending,,,,,,
hzGrwaFztrE,This is the real definition of a movie,,,,,,,
hzGrwaFztrE,Deep??,,,,,,,
hzGrwaFztrE,the girl is a spy to hunt down zedd,,,,,,,
hzGrwaFztrE,This movie is worth my time n anyones time out there. Interesting...,,,,,,,
hzGrwaFztrE,Bryce is that you? I FLIPPED,,,,,,,
hzGrwaFztrE,amazing movie,,,,,,,
hzGrwaFztrE,How can you buy a phone from a street vendor for just 600 Bhats (Thai currency)?,,,,,,,
hzGrwaFztrE,This movie is the bomb,,,,,,,
hzGrwaFztrE,It is a good movie. No click bait. Rely cool!!!,,,,,,,
hzGrwaFztrE,the best movie..,,,,,,,
hzGrwaFztrE,27/1/2020,,,,,,,
hzGrwaFztrE,Omg im so sad shye is dead ,,,,,,,
hzGrwaFztrE,Beautiful??,,,,,,,
hzGrwaFztrE,In this movie really excellent contents....and the aftermath of hacker is  very well because of now he is been a honest....,,,,,,,
hzGrwaFztrE,Superb movie.....my first English movie???,,,,,,,
hzGrwaFztrE,money does not change you. it reveals who you are. Z,,,,,,,
hzGrwaFztrE,Worth watching !,,,,,,,
hzGrwaFztrE,awesome movie super ending,,,,,,,
hzGrwaFztrE,Actually  hack everything on me not my mind and heart,,,,,,,
hzGrwaFztrE,what is a movie name bro,,,,,,,
hzGrwaFztrE,End was like a crap,,,,,,,
